x,y,U,V,p,patch
0.069125,0.040625,0.0,0.0,-526.51,foil
0.21969,-0.058375,0.0,0.0,-649.74,foil
0.51069,-0.05225,0.0,0.0,-281.97,foil
0.5585,-0.048875,0.0,0.0,-236.03,foil
0.64569,0.04175,0.0,0.0,-181.97,foil
0.58475,0.046875,0.0,0.0,-272.15,foil
0.19737,0.05725,0.0,0.0,-728.21,foil
0.86169,0.019125,0.0,0.0,-0.6945,foil
0.31194,-0.06,0.0,0.0,-535.36,foil
0.074188,-0.04175,0.0,0.0,-533.49,foil
0.75087,-0.0315,0.0,0.0,-88.11,foil
0.048875,-0.03525,0.0,0.0,-438.56,foil
0.58325,-0.047,0.0,0.0,-274.53,foil
0.22738,-0.058625,0.0,0.0,-406.43,foil
0.2075,-0.05775,0.0,0.0,-524.44,foil
0.88119,-0.01675,0.0,0.0,-17.943,foil
0.94625,-0.0085,0.0,0.0,43.922,foil
0.079812,-0.043,0.0,0.0,-532.63,foil
0.67962,0.038625,0.0,0.0,-194.58,foil
0.61269,0.044625,0.0,0.0,-267.97,foil
0.026937,-0.027125,0.0,0.0,-162.38,foil
0.07475,0.042,0.0,0.0,-619.31,foil
0.55119,-0.0495,0.0,0.0,-350.05,foil
0.37831,-0.05875,0.0,0.0,-438.82,foil
0.035563,0.030625,0.0,0.0,-383.73,foil
0.0305,-0.0285,0.0,0.0,-339.71,foil
0.40831,0.05775,0.0,0.0,-460.81,foil
0.54688,0.04975,0.0,0.0,-189.14,foil
0.40269,-0.057875,0.0,0.0,-397.53,foil
0.6275,0.043375,0.0,0.0,-289.75,foil
0.58138,0.047125,0.0,0.0,-216.25,foil
0.60406,-0.04525,0.0,0.0,-203.66,foil
0.20112,-0.0575,0.0,0.0,-363.95,foil
0.88156,-0.01675,0.0,0.0,36.104,foil
0.38075,0.05875,0.0,0.0,-610.49,foil
0.39875,0.058125,0.0,0.0,-372.86,foil
0.3785,-0.05875,0.0,0.0,-423.2,foil
0.85531,0.019875,0.0,0.0,3.7059,foil
0.19625,-0.057125,0.0,0.0,-539.9,foil
0.71562,0.035125,0.0,0.0,-156.25,foil
0.88944,0.01575,0.0,0.0,-26.763,foil
0.55813,0.048875,0.0,0.0,-296.17,foil
0.035375,0.030625,0.0,0.0,-432.73,foil
0.47581,-0.054375,0.0,0.0,-322.24,foil
0.59919,-0.04575,0.0,0.0,-274.98,foil
0.0040625,-0.011,0.0,0.0,942.7,foil
0.21837,-0.05825,0.0,0.0,-304.88,foil
0.16438,-0.05475,0.0,0.0,-513.83,foil
0.1205,-0.05,0.0,0.0,-640.85,foil
0.12594,-0.050625,0.0,0.0,-531.84,foil
0.22138,0.0585,0.0,0.0,-586.9,foil
0.10681,0.048,0.0,0.0,-749.65,foil
0.10662,0.047875,0.0,0.0,-351.27,foil
0.31194,-0.06,0.0,0.0,-481.81,foil
0.23319,0.058875,0.0,0.0,-506.17,foil
0.24125,0.059125,0.0,0.0,-508.84,foil
0.3455,-0.059625,0.0,0.0,-560.87,foil
0.85906,-0.0195,0.0,0.0,-26.543,foil
0.74094,-0.0325,0.0,0.0,-177.24,foil
0.078313,-0.04275,0.0,0.0,-757.76,foil
0.61888,0.044,0.0,0.0,-314.11,foil
0.75931,-0.030625,0.0,0.0,-77.279,foil
0.49869,0.053,0.0,0.0,-306.35,foil
0.92075,0.011875,0.0,0.0,103.85,foil
0.3965,-0.058125,0.0,0.0,-374.19,foil
0.99612,0.000875,0.0,0.0,282.83,foil
0.53544,-0.050625,0.0,0.0,-393.39,foil
0.97494,0.00475,0.0,0.0,113.0,foil
0.29731,-0.06,0.0,0.0,-558.76,foil
0.75669,-0.030875,0.0,0.0,-90.965,foil
0.79981,0.02625,0.0,0.0,-47.252,foil
0.43194,-0.05675,0.0,0.0,-541.2,foil
0.368,-0.059,0.0,0.0,-531.17,foil
0.15837,-0.05425,0.0,0.0,-552.63,foil
0.090125,0.045125,0.0,0.0,-621.81,foil
0.60669,-0.045125,0.0,0.0,-264.18,foil
0.71131,0.0355,0.0,0.0,-165.73,foil
0.0093125,0.0165,0.0,0.0,213.7,foil
0.77113,0.029375,0.0,0.0,-67.431,foil
0.626,-0.0435,0.0,0.0,-318.79,foil
0.57181,-0.047875,0.0,0.0,-271.93,foil
0.95394,-0.0075,0.0,0.0,96.783,foil
0.08375,-0.043875,0.0,0.0,-644.6,foil
0.76719,0.02975,0.0,0.0,-138.75,foil
0.55925,0.048875,0.0,0.0,-282.6,foil
0.0125,-0.018875,0.0,0.0,66.224,foil
0.85175,0.02025,0.0,0.0,-38.537,foil
0.000125,0.0015,0.0,0.0,1413.8,foil
0.18856,0.056625,0.0,0.0,-488.7,foil
0.077563,-0.0425,0.0,0.0,-563.61,foil
0.32544,-0.059875,0.0,0.0,-486.77,foil
0.016812,-0.02175,0.0,0.0,-203.65,foil
0.039687,0.03225,0.0,0.0,-334.97,foil
0.65562,-0.04075,0.0,0.0,-293.68,foil
0.81819,-0.02425,0.0,0.0,-95.25,foil
0.0395,-0.032125,0.0,0.0,-330.04,foil
0.36538,0.059125,0.0,0.0,-465.96,foil
0.49812,-0.053,0.0,0.0,-405.97,foil
0.97419,0.00475,0.0,0.0,102.38,foil
0.30294,0.06,0.0,0.0,-381.56,foil
0.38806,0.0585,0.0,0.0,-516.98,foil
0.49137,0.0535,0.0,0.0,-354.03,foil
0.032187,-0.02925,0.0,0.0,-368.45,foil
0.749,0.03175,0.0,0.0,-95.79,foil
0.82606,0.02325,0.0,0.0,-95.566,foil
0.6005,0.045625,0.0,0.0,-256.05,foil
0.83469,0.022375,0.0,0.0,-87.062,foil
0.48275,0.054,0.0,0.0,-347.56,foil
0.9575,0.007,0.0,0.0,82.451,foil
0.92356,-0.0115,0.0,0.0,118.87,foil
0.14337,-0.05275,0.0,0.0,-557.22,foil
0.55156,-0.049375,0.0,0.0,-269.54,foil
0.76906,-0.029625,0.0,0.0,-101.89,foil
0.50356,0.05275,0.0,0.0,-349.45,foil
0.83581,-0.022125,0.0,0.0,-60.241,foil
0.13981,-0.052375,0.0,0.0,-644.63,foil
0.236,0.059,0.0,0.0,-629.88,foil
0.41263,0.0575,0.0,0.0,-349.42,foil
0.78181,-0.02825,0.0,0.0,-67.637,foil
0.923,-0.011625,0.0,0.0,36.882,foil
0.55119,0.049375,0.0,0.0,-408.69,foil
0.24669,-0.059375,0.0,0.0,-444.68,foil
0.31062,0.06,0.0,0.0,-542.94,foil
0.88925,0.01575,0.0,0.0,-65.027,foil
0.66781,-0.039625,0.0,0.0,-314.1,foil
0.71412,0.03525,0.0,0.0,-119.65,foil
0.0485,-0.035125,0.0,0.0,-561.51,foil
0.070063,0.040875,0.0,0.0,-618.14,foil
0.19869,-0.05725,0.0,0.0,-483.28,foil
0.048313,0.035,0.0,0.0,-553.18,foil
0.61381,-0.0445,0.0,0.0,-239.98,foil
0.048313,-0.035,0.0,0.0,-556.91,foil
0.48425,-0.053875,0.0,0.0,-286.88,foil
0.70681,-0.036,0.0,0.0,-167.67,foil
0.71375,-0.03525,0.0,0.0,-177.59,foil
0.64681,0.041625,0.0,0.0,-196.77,foil
0.17694,0.055875,0.0,0.0,-762.06,foil
0.734,0.03325,0.0,0.0,-106.02,foil
0.96275,-0.006375,0.0,0.0,142.36,foil
0.25381,-0.0595,0.0,0.0,-557.99,foil
0.32075,-0.059875,0.0,0.0,-485.91,foil
0.60856,0.044875,0.0,0.0,-257.16,foil
0.36781,-0.059125,0.0,0.0,-417.94,foil
0.94138,-0.009125,0.0,0.0,35.972,foil
0.22813,-0.05875,0.0,0.0,-396.22,foil
0.63012,-0.043125,0.0,0.0,-257.26,foil
0.69594,0.037,0.0,0.0,-147.15,foil
0.62112,0.043875,0.0,0.0,-228.64,foil
0.263,0.05975,0.0,0.0,-681.93,foil
0.5975,0.045875,0.0,0.0,-261.56,foil
